Expected: 2, 0, 3
13:36:07.382
13:44:35.428:   [1, 85, 2],2, 0
13:44:36.391:   High
13:44:37.428:   [1, 85, 0],2, 1
13:44:39.428:   [1, 85, 1],2, 0
13:44:40.678:   Low
13:44:41.428:   [0, 85, 1],0, 1
13:44:43.429:   [0, 86, 1],1, 0
13:44:44.551:   Low
13:44:45.429:   [0, 86, 1],0, -1
13:44:47.429:   [1, 86, 1],0, 0
13:44:49.429:   [1, 86, 2],2, 0
13:44:50.847:   Low
13:44:51.429:   [0, 86, 2],0, 1
13:44:53.429:   [0, 87, 2],1, 0
13:44:55.429:   [1, 87, 2],0, 0
13:44:56.679:   Low
13:44:57.429:   [0, 87, 2],0, 1
13:44:59.429:   [1, 87, 2],0, 0
13:45:00.679:   High
13:45:01.430:   [1, 87, 0],2, 1
13:45:03.430:   [1, 88, 0],1, 0
13:45:04.639:   Low
13:45:05.430:   [0, 88, 0],0, 1
13:45:07.430:   [0, 88, 1],2, 0
13:45:09.430:   [0, 88, 2],2, 0
13:45:11.430:   [1, 88, 2],0, 0
13:45:12.439:   High
13:45:13.430:   [1, 88, 0],2, 1
13:45:15.430:   [1, 88, 1],2, 0
13:45:17.430:   [1, 89, 1],1, 0
13:45:19.431:   [1, 90, 1],1, 0
13:45:21.431:   [1, 90, 2],2, 0
13:45:22.959:   High
13:45:23.431:   [1, 90, 0],2, 1
13:45:25.431:   [1, 91, 0],1, 0
13:45:26.391:   Low
13:45:27.431:   [0, 91, 0],0, 1
13:45:29.431:   [0, 92, 0],1, 0
13:45:31.431:   [0, 92, 1],2, 0
13:45:33.431:   [1, 92, 1],0, 0
13:45:34.534:   Low
13:45:35.432:   [0, 92, 1],0, 1
13:45:37.432:   [1, 92, 1],0, 0
13:45:39.432:   [1, 92, 2],2, 0
13:45:40.535:   Low
13:45:41.432:   [0, 92, 2],0, 1
13:45:43.432:   [1, 92, 2],0, 0
13:45:45.432:   [1, 93, 2],1, 0
13:45:46.919:   Low
13:45:47.432:   [0, 93, 2],0, 1
13:45:49.432:   [1, 93, 2],0, 0
13:45:51.432:   [1, 94, 2],1, 0
13:45:53.433:   [1, 95, 2],1, 0
13:45:55.433:   [1, 96, 2],1, 0
13:45:56.423:   High
13:45:57.433:   [1, 96, 0],2, 1
13:45:58.415:   Low
13:45:59.433:   [0, 96, 0],0, 1
13:46:01.433:   [0, 96, 1],2, 0
13:46:03.433:   [1, 96, 1],0, 0
13:46:05.433:   [1, 96, 2],2, 0
13:46:06.383:   Low
13:46:07.433:   [0, 96, 2],0, 1
Tone 1 count: 102
Tone 2 count: 96
Tone 3 count: 102
Correct: 73; False Positive: 13
